01-01,06:25,14:25
01-02,06:26,14:26
01-03,06:27,14:27
01-04,06:28,14:28
01-05,06:29,14:29
01-06,06:30,14:30
01-07,06:31,14:31
01-08,06:32,14:32
01-09,06:33,14:33
01-10,06:34,14:34
01-11,06:35,14:35
01-12,06:36,14:36
01-13,06:37,14:37
01-14,06:38,14:38
01-15,06:39,14:39
01-16,06:40,14:40
01-17,06:41,14:41
01-18,06:42,14:42
01-19,06:43,14:43
01-20,06:44,14:44
01-21,06:45,14:45
01-22,06:46,14:46
01-23,06:47,14:47
01-24,06:48,14:48
01-25,06:49,14:49
01-26,06:50,14:50
01-27,06:51,14:51
01-28,06:52,14:52
01-29,06:53,14:53
01-30,06:54,14:54
01-31,06:55,14:55
02-01,06:56,14:56
02-02,06:57,14:57
02-03,06:58,14:58
02-04,06:59,14:59
02-05,07:00,15:00
02-06,07:01,15:01
02-07,07:02,15:02
02-08,07:03,15:03
02-09,07:04,15:04
02-10,07:05,15:05
02-11,07:06,15:06
02-12,07:07,15:07
02-13,07:08,15:08
02-14,07:09,15:09
02-15,07:10,15:10
02-16,07:11,15:11
02-17,07:12,15:12
02-18,07:13,15:13
02-19,07:14,15:14
02-20,07:15,15:15
02-21,07:16,15:16
02-22,07:17,15:17
02-23,07:18,15:18
02-24,07:19,15:19
02-25,07:20,15:20
02-26,07:21,15:21
02-27,07:22,15:22
02-28,07:23,15:23
03-01,07:24,15:24
03-02,07:25,15:25
03-03,07:26,15:26
03-04,07:27,15:27
03-05,07:28,15:28
03-06,07:29,15:29
03-07,07:30,15:30
03-08,07:31,15:31
03-09,07:32,15:32
03-10,07:33,15:33
03-11,07:34,15:34
03-12,07:35,15:35
03-13,07:36,15:36
03-14,07:37,15:37
03-15,07:38,15:38
03-16,07:39,15:39
03-17,07:40,15:40
03-18,07:41,15:41
03-19,07:42,15:42
03-20,07:43,15:43
03-21,07:44,15:44
03-22,07:45,15:45
03-23,07:46,15:46
03-24,07:47,15:47
03-25,07:48,15:48
03-26,07:49,15:49
03-27,07:50,15:50
03-28,07:51,15:51
03-29,07:52,15:52
03-30,07:53,15:53
03-31,07:54,15:54
04-01,07:55,15:55
04-02,07:56,15:56
04-03,07:57,15:57
04-04,07:58,15:58
04-05,07:59,15:59
04-06,08:00,16:00
04-07,08:01,16:01
04-08,08:02,16:02
04-09,08:03,16:03
04-10,08:04,16:04
04-11,08:05,16:05
04-12,08:06,16:06
04-13,08:07,16:07
04-14,08:08,16:08
04-15,08:09,16:09
04-16,08:10,16:10
04-17,08:11,16:11
04-18,08:12,16:12
04-19,08:13,16:13
04-20,08:14,16:14
04-21,08:15,16:15
04-22,08:16,16:16
04-23,08:17,16:17
04-24,08:18,16:18
04-25,08:19,16:19
04-26,08:20,16:20
04-27,08:21,16:21
04-28,08:22,16:22
04-29,08:23,16:23
04-30,08:24,16:24
05-01,08:25,16:25
05-02,08:26,16:26
05-03,08:27,16:27
05-04,08:28,16:28
05-05,08:29,16:29
05-06,08:30,16:30
05-07,08:31,16:31
05-08,08:32,16:32
05-09,08:33,16:33
05-10,08:34,16:34
05-11,08:35,16:35
05-12,08:36,16:36
05-13,08:37,16:37
05-14,08:38,16:38
05-15,08:39,16:39
05-16,08:40,16:40
05-17,08:41,16:41
05-18,08:42,16:42
05-19,08:43,16:43
05-20,08:44,16:44
05-21,08:45,16:45
05-22,08:46,16:46
05-23,08:47,16:47
05-24,08:48,16:48
05-25,08:49,16:49
05-26,08:50,16:50
05-27,08:51,16:51
05-28,08:52,16:52
05-29,08:53,16:53
05-30,08:54,16:54
05-31,08:55,16:55
06-01,08:56,16:56
06-02,08:57,16:57
06-03,08:58,16:58
06-04,08:59,16:59
06-05,09:00,17:00
06-06,09:01,17:01
06-07,09:02,17:02
06-08,09:03,17:03
06-09,09:04,17:04
06-10,09:05,17:05
06-11,09:06,17:06
06-12,09:07,17:07
06-13,09:08,17:08
06-14,09:09,17:09
06-15,09:10,17:10
06-16,09:11,17:11
06-17,09:12,17:12
06-18,09:13,17:13
06-19,09:14,17:14
06-20,09:15,17:15
06-21,09:16,17:16
06-22,09:17,17:17
06-23,09:18,17:18
06-24,09:19,17:19
06-25,09:20,17:20
06-26,09:21,17:21
06-27,09:22,17:22
